T_mem,T_grok,T_circuit,T_circuit_25,T_circuit_75,T_circuit_90,T_test_50,exc_min,T_exc_min,T_exc_recover,T_exc_enter,T_res_01,res_final,l2_peak,T_l2_peak,l2_final,l2_init,gini_final,gini_max,T_gini_05,n_keys,emerg_first,emerg_last,emerg_spread,wl_kf_conc_final,config,family,momentum,regime,seed,gap,gap_ratio,circuit_lead,cleanup_dur,dip_width,mem_to_excmin
191.67392085438357,5495.156675293043,4380.214747989802,2744.2541838066445,5212.800662674513,5717.97752687766,4699.351850024667,2.473668020902296e-05,1280.0,3980.0,170.0,4565.249874228681,2.688814100175197e-07,4699.792895812541,830.0,1446.9714141637087,1787.0870623588562,0.919312983751297,0.9199331402778625,3891.0256688302634,5,0.0,0.0,0.0,0.9800779223442078,EGD m=0.9 slow,EGD,0.9,slow,1,5303.48275443866,28.66929757996532,1114.9419273032408,2700.0,3810.0,1088.3260791456164
189.48755945647582,4193.116516694293,3333.9040940740815,1961.0898859145686,3940.8388575275776,4358.186259682869,3615.439535346675,4.54065109035594e-05,310.0,3110.0,170.0,3318.8550078734165,1.6345196696008176e-07,4668.642178654671,830.0,1498.872840180993,1779.1197283267975,0.918423593044281,0.9185283184051514,3059.097038770222,5,0.0,0.0,0.0,0.9931198060512543,EGD m=0.9 slow,EGD,0.9,slow,2,4003.628957237817,22.128716675236017,859.2124226202113,2800.0,2940.0,120.51244054352418
193.88526733755225,4185.85362295082,3399.750280874256,2193.1322026527505,3988.703340524286,10649.87470449173,3538.1034503876635,4.024397937641189e-05,320.0,3160.0,180.0,3325.2256878502535,2.8177080617051787e-07,4674.9617015346885,830.0,1313.4640847444534,1774.7362294197083,0.9493390321731567,0.9503743648529053,3044.02527922244,5,0.0,0.0,0.0,0.9955123364925385,EGD m=0.9 slow,EGD,0.9,slow,3,3991.9683556132677,21.589333116596695,786.1033420765639,2840.0,2980.0,126.11473266244775
196.7078650705504,3874.190767740373,3016.917608042284,1755.4405079643645,3784.9724759419346,4709.182834677831,3171.1193727186696,5.156445781686883e-05,320.0,2690.0,180.0,3188.7559832228762,5.273580552345947e-07,4639.1291230767965,820.0,1355.9268128573895,1780.501963853836,0.9411676228046417,0.9449013471603394,2510.6677534486803,5,0.0,0.0,0.0,0.9862499833106995,EGD m=0.9 slow,EGD,0.9,slow,4,3677.4829026698226,19.69514928318129,857.2731596980889,2370.0,2510.0,123.29213492944959
52.17648385883868,168.37651329098642,112.72021492156729,0.0,395.94338521986543,2007.5274115650705,80.59491034826961,0.7424907367145382,70.0,110.0,30.0,125.29321222355337,4.0313508184309847e-07,7186.358011730015,1200.0,4997.656692445278,1783.3782138824463,0.6847072839736938,0.6899347305297852,233.04563213401087,17,0.0,0.0,0.0,0.9274697005748749,Muon m=0 fast,Muon,0.0,fast,0,116.20002943214774,3.22705749483852,55.65629836941913,40.0,80.0,17.82351614116132
49.968084708510915,163.95122412552948,97.29400796545443,0.0,680.6544998984222,3801.564955607716,91.13888749696861,0.7390266513572656,60.0,80.0,30.0,121.23720017589797,1.0673210582716402e-07,7661.45590981096,950.0,5637.454248238355,1787.0870623588562,0.645698606967926,0.6549633145332336,308.59657746108473,19,0.0,0.0,0.0,0.9301137924194336,Muon m=0 fast,Muon,0.0,fast,1,113.98313941701856,3.2811188397942366,66.65721616007505,20.0,50.0,10.031915291489085
48.67059246924853,174.70919627853598,99.28227005598278,0.0,973.2549009986014,6377.996207332491,77.66450593903139,0.7799649200056822,50.0,70.0,30.0,117.83616650896235,7.901503211948381e-08,7326.341862576082,900.0,5541.537066329271,1779.1197283267975,0.688944935798645,0.6968038082122803,243.05412838768245,17,0.0,0.0,0.0,0.9271804392337799,Muon m=0 fast,Muon,0.0,fast,2,126.03860380928745,3.5896254270773924,75.4269262225532,20.0,40.0,1.3294075307514674
49.83118210711066,146.56024947894628,196.94333319645008,0.0,1385.6912970902235,4473.62501739897,68.220578287838,0.5144328668347854,70.0,950.0,30.0,185.34609475983092,1.637323178826449e-07,8182.254988428205,950.0,5599.9131720829755,1774.7362294197083,0.6785504221916199,0.6866025924682617,549.4782742167102,17,0.0,0.0,0.0,0.9267612397670746,Muon m=0 fast,Muon,0.0,fast,3,96.72906737183561,2.9411353149102366,-50.38308371750381,880.0,920.0,20.168817892889336
47.85484095453055,165.46034147582452,100.45519961507507,0.0,872.0751414566816,3064.639524064624,68.72021344996908,0.8814019199777738,60.0,80.0,40.0,115.00360382397008,1.647333148231659e-07,7926.103942915797,1200.0,5251.252882715315,1780.501963853836,0.6831019520759583,0.6867378950119019,367.1088402009487,17,0.0,0.0,0.0,0.9359519481658936,Muon m=0 fast,Muon,0.0,fast,4,117.60550052129398,3.457546575758913,65.00514186074945,20.0,40.0,12.145159045469448
176.9238143276443,4293.727995128635,3646.035024087049,2596.9544813169587,4440.0133667411665,12877.107438016536,3421.2337563486903,3.5294278074021145e-08,450.0,3330.0,160.0,3165.2860026351473,1.5531955949254875e-10,17178.584870570106,2860.0,6569.524043414315,1783.3782138824463,0.9220374822616577,0.9222550988197327,3352.9488706102184,5,0.0,0.0,0.0,0.9860509932041168,Muon m=0 slow,Muon,0.0,slow,0,4116.80418080099,24.268796212911745,647.6929710415857,2880.0,3170.0,273.0761856723557
177.55645634312077,3843.008098747891,3670.60400323636,2794.8396038881697,4328.601571067105,5618.7343129893825,3317.9687309216442,2.1267601163634944e-08,450.0,3640.0,160.0,3257.799769632973,2.0338906643047058e-07,16993.75897194154,2830.0,6660.894088578318,1787.0870623588562,0.9063719213008881,0.9080972075462341,3225.702243348608,5,0.0,0.0,0.0,0.9025951623916626,Muon m=0 slow,Muon,0.0,slow,1,3665.45164240477,21.643865719652744,172.40409551153107,3190.0,3480.0,272.4435436568792
175.84707095665252,3417.8269992734317,3036.838540556134,2225.594495256005,3591.5870713802124,4898.471432439752,2846.318664590091,8.628612936261344e-08,430.0,2900.0,160.0,2577.044855009583,1.7410315703446617e-10,15715.705750217196,2600.0,6478.058461002975,1779.1197283267975,0.9178294539451599,0.9178429245948792,2817.4648564044696,5,0.0,0.0,0.0,0.9962422847747803,Muon m=0 slow,Muon,0.0,slow,2,3241.979928316779,19.43636013201465,380.9884587172978,2470.0,2740.0,254.15292904334748
